50,Montour Run
55,Robinson Town Center
60,Ikea
65,US 22-30/SR 60 Interchange
70,Settlers Cabin EB Off-Ramp
75,Settlers Cabin
80,Settlers Cabin EB On-Ramp
85,Bishops Corner Interchange
90,Campbells Run
95,I-79 On-Ramp
99,Pittsburgh Int. West
101,Pittsburgh Int. East
100,I-279 Pittsburgh Interchange
105,Rosslyn Farms Interchange
110,Carnegie Interchange
115,Greentree Interchange
120,Greentree Hill- Top
125,Grentree Hill- Middle
130,Banksville Interchange
135,Fort Pitt Garage
832,Fort Pitt Bridge Lower #13
833,Fort Pitt Bridge Lower #14
834,Fort Pitt Bridge Lower #15
835,Fort Pitt Bridge Lower #16
836,Fort Pitt Bridge Lower #17
837,Fort Pitt Bridge Lower Liberty Ave #18
831,Ft Pitt Tunnel Upper Portal
839,Ft Pitt Tunnel Lower Portal
140,PNC Park - HOV
840,Ft Duq Blvd Ramp
842,279/65 Interchange
838,Point State Park
145,Lacock Street - HOV
150,Anderson Street - HOV
155,North Canal Street - HOV
159,SR 28/ I-279
160,East Street - HOV
165,Tripoli Street - HOV
170,Veteran's Bridge - HOV
175,Bedford Ave - HOV
180,St. Boniface - HOV
185,Hazlett Street -HOV
190,Venture Street -HOV
195,Evergreen Road -HOV
200,McKnight Road
205,Perrysville -HOV
210,I-279 SB On- Ramp
215,HOV Park and Ride
220,Jack's Run
225,Bellevue Road
230,Union Ave South
235,Union Ave North
240,Ben Avon Heights Road
245,Camp Horne Road
250,Weiss Ln
255,Mt Nebo Rd
260,Montgomery Rd
270,Pittsburgh Split
300,Commonwealth Place
305,Fort Pitt Blvd
315,Grant Street
319,North Portal Liberty
320,County Jail
325,2nd Avenue
330,Brady Street
335,Bates Street
340,Swinburne Street
345,Saline Street
350,Beechwood Blvd
370,Commercial Street
375,Swissvale
380,Edgewood
385,Brinton Road
390,Forest Hills
395,Wilkinsburg
400,Greensburg Pike
405,Churchill Interchange
408,Rodi Rd
410,Penn HIlls Interchange
415,McCully Dr
420,Thompson Run Rd
425,Laurel Dr
430,Old William Penn
435,Haymaker Dr
440,I-376/SR 22
550,Bridgeville North
555,Chartiers Creek
560,Prestley Rd
565,Kirwin Hts Interchange
570,Thoms Run Road
575,Collier Ave
580,Carnegie South
585,Carnegie
590,Ewing Road
595,Pittsburgh Int South
600,Pittsburgh Int North
605,W Harbison Rd
610,Crafton Int
612,Clever Rd
615,Forest Grove Road
620,S-Bend NB Entrance
625,3rd Bend SB
655,Deer Run Road
660,Kilbuck St
665,Duff Rd
670,Glenfield Road
675,Mt Nebo Int
680,Red Mud Hollow- South
685,Red Mud Hollow- North
690,Magee Rd Ext
695,Nicholson Rd
700,Rochester Rd
705,Wedgewood Dr
710,Wexford Int
804,Crane Ave
806,South Liberty Interchange
846,Wabash St
848,Lowe St
850,Alexander St
854,South Main St
856,West End Bridge South
858,West End Bridge North
161,East Ohio Street
950,St. Nicholas Church
952,Gardner St.
954,31st St. Bridge
956,Croft St.
958,40th St. Bridge
960,Millvale
962,Etna
